mokCode,countryName
AFG,Афганистан
ALB,Албания
ALG,Алжир
AND,Андорра
ANG,Ангола
ANT,Антигуа и Барбуда
ARG,Аргентина
ARM,Армения
ARU,Аруба
ASA,Американское Самоа
AUS,Австралия
AUT,Австрия
AZE,Азербайджан
BAH,Багамские Острова
BAN,Бангладеш
BAR,Барбадос
BDI,Бурунди
BEL,Бельгия
BEN,Бенин
BER,Бермуды
BHU,Бутан
BIH,Босния и Герцеговина
BIZ,Белиз
BLR,Белоруссия
BOL,Боливия
BOT,Ботсвана
BRA,Бразилия
BRN,Бахрейн
BRU,Бруней
BUL,Болгария
BUR,Буркина-Фасо
CAF,Центральноафриканская Республика
CAM,Камбоджа
CAN,Канада
CAY,Каймановы острова
CGO,Республика Конго
CHA,Чад
CHI,Чили
CHN,Китай
CIV,Кот-д’Ивуар
CMR,Камерун
COD,Демократическая Республика Конго
COK,Острова Кука
COL,Колумбия
COM,Коморы
CPV,Кабо-Верде
CRC,Коста-Рика
CRO,Хорватия
CUB,Куба
CYP,Кипр
CZE,Чехия
DEN,Дания
DJI,Джибути
DMA,Доминика
DOM,Доминиканская Республика
ECU,Эквадор
EGY,Египет
ERI,Эритрея
ESA,Сальвадор
ESP,Испания
EST,Эстония
ETH,Эфиопия
FIJ,Фиджи
FIN,Финляндия
FRA,Франция
FSM,Федеративные Штаты Микронезии
GAB,Габон
GAM,Гамбия
GBR,Великобритания
GBS,Гвинея-Бисау
GEO,Грузия
GEQ,Экваториальная Гвинея
GER,Германия
GHA,Гана
GRE,Греция
GRN,Гренада
GUA,Гватемала
GUI,Гвинея
GUM,Гуам
GUY,Гайана
HAI,Гаити
HKG,Гонконг
HON,Гондурас
HUN,Венгрия
INA,Индонезия
IND,Индия
IRI,Иран
IRL,Ирландия
IRQ,Ирак
ISL,Исландия
ISR,Израиль
ISV,Американские Виргинские острова
ITA,Италия
IVB,Британские Виргинские острова
JAM,Ямайка
JOR,Иордания
JPN,Япония
KAZ,Казахстан
KEN,Кения
KGZ,Киргизия
KIR,Кирибати
KOR,Южная Корея
KSA,Саудовская Аравия
KUW,Кувейт
LAO,Лаос
LAT,Латвия
LBA,Ливия
LBR,Либерия
LCA,Сент-Люсия
LES,Лесото
LIB,Ливан
LIE,Лихтенштейн
LTU,Литва
LUX,Люксембург
MAD,Мадагаскар
MAR,Марокко
MAS,Малайзия
MAW,Малави
MDA,Молдавия
MDV,Мальдивы
MEX,Мексика
MGL,Монголия
MHL,Маршалловы Острова
MKD,Македония
MLI,Мали
MLT,Мальта
MNE,Черногория
MON,Монако
MOZ,Мозамбик
MRI,Маврикий
MTN,Мавритания
MYA,Мьянма
NAM,Намибия
NCA,Никарагуа
NED,Нидерланды
NEP,Непал
NGR,Нигерия
NIG,Нигер
NOR,Норвегия
NRU,Науру
NZL,Новая Зеландия
OMA,Оман
PAK,Пакистан
PAN,Панама
PAR,Парагвай
PER,Перу
PHI,Филиппины
PLE,Государство Палестина
PLW,Палау
PNG,Папуа — Новая Гвинея
POL,Польша
POR,Португалия
PRK,КНДР
PUR,Пуэрто-Рико
QAT,Катар
ROU,Румыния
RSA,ЮАР
RUS,Россия
RWA,Руанда
SAM,Самоа
SEN,Сенегал
SEY,Сейшелы
SIN,Сингапур
SKN,Сент-Китс и Невис
SLE,Сьерра-Леоне
SLO,Словения
SMR,Сан-Марино
SOL,Соломоновы Острова
SOM,Сомали
SRB,Сербия
SRI,Шри-Ланка
STP,Сан-Томе и Принсипи
SUD,Судан
SUI,Швейцария
SUR,Суринам
SVK,Словакия
SWE,Швеция
SWZ,Свазиленд
SYR,Сирия
TAN,Танзания
TGA,Тонга
THA,Таиланд
TJK,Таджикистан
TKM,Туркмения
TLS,Восточный Тимор
TOG,Того
TPE,Тайвань
TTO,Тринидад и Тобаго
TUN,Тунис
TUR,Турция
TUV,Тувалу
UAE,ОАЭ
UGA,Уганда
UKR,Украина
URU,Уругвай
USA,США
UZB,Узбекистан
VAN,Вануату
VEN,Венесуэла
VIE,Вьетнам
VIN,Сент-Винсент и Гренадины
YEM,Йемен
ZAM,Замбия
ZIM,Зимбабве
